name;birth_date;death_date;first_term_start;last_term_end;term_1_start;term_1_end;term_2_start;term_2_end;term_3_start;term_3_end;;
Valdemar III of Denmark;1314-01-01;1364-01-01;1326-01-01;1329-01-01;1326-01-01;1329-01-01;;;;;;
Valdemar IV of Denmark;1320-01-01;1375-10-24;1340-06-24;1375-10-24;1340-06-24;1375-10-24;;;;;;
Olaf II of Denmark;1370-01-01;1387-08-03;1376-05-03;1386-08-03;1376-05-03;1386-08-03;;;;;;
Margaret I of Denmark;1353-01-01;1412-10-28;1387-08-10;1412-10-28;1387-08-10;1412-10-28;;;;;;
Eric of Pomerania;1381-01-01;1459-05-03;1396-01-01;1439-01-01;1396-01-01;1439-01-01;;;;;;
Christopher of Bavaria;1416-02-26;1448-01-06;1440-04-09;1448-01-05;1440-04-09;1448-01-05;;;;;;
Christian I of Denmark;1426-02-01;1481-05-21;1448-09-28;1481-05-21;1448-09-28;1481-05-21;;;;;;
John, King of Denmark;1455-02-02;1513-02-20;1481-01-01;1513-01-01;1481-01-01;1513-01-01;;;;;;
Christian II of Denmark;1481-07-02;1559-01-25;1513-01-01;1523-01-01;1513-01-01;1523-01-01;;;;;;
Frederick I of Denmark;1471-10-07;1533-04-10;1523-04-13;1533-04-10;1523-04-13;1533-04-10;;;;;;
Christian III of Denmark;1503-08-12;1559-01-01;1534-07-04;1559-01-01;1534-07-04;1559-01-01;;;;;;
Frederick II of Denmark;1534-07-01;1588-04-04;1559-01-01;1588-04-04;1559-01-01;1588-04-04;;;;;;
Christian IV of Denmark;1577-04-12;1648-02-28;1588-04-04;1648-02-28;1588-04-04;1648-02-28;;;;;;
Frederick III of Denmark;1609-03-18;1670-02-09;1648-07-06;1670-02-09;1648-07-06;1670-02-09;;;;;;
Christian V of Denmark;1646-04-15;1699-08-25;1670-02-09;1699-08-25;1670-02-09;1699-08-25;;;;;;
Frederik IV of Denmark;1671-10-11;1730-10-12;1699-08-25;1730-10-12;1699-08-25;1730-10-12;;;;;;
Christian VI of Denmark;1699-11-30;1746-08-06;1730-10-12;1746-08-06;1730-10-12;1746-08-06;;;;;;
Frederick V of Denmark;1723-03-31;1766-01-14;1746-08-06;1766-01-14;1746-08-06;1766-01-14;;;;;;
Christian VII of Denmark;1749-01-29;1808-03-13;1766-01-14;1808-03-14;1766-01-14;1808-03-14;;;;;;
Frederick VI of Denmark;1768-01-28;1839-12-03;1808-03-13;1839-12-03;1808-03-13;1839-12-03;;;;;;
Christian VIII of Denmark;1786-09-18;1848-01-20;1839-12-03;1848-01-20;1839-12-03;1848-01-20;;;;;;
Frederick VII of Denmark;1808-10-06;1863-11-15;1848-01-20;1863-11-15;1848-01-20;1863-11-15;;;;;;
Christian IX of Denmark;1818-04-08;1906-01-29;1863-11-15;1906-01-29;1863-11-15;1906-01-29;;;;;;
Frederik VIII of Denmark;1843-06-03;1912-05-14;1906-01-29;1912-05-14;1906-01-29;1912-05-14;;;;;;
Christian X of Denmark;1870-09-26;1947-04-20;1912-05-14;1947-04-20;1912-05-14;1947-04-20;;;;;;
Frederik IX of Denmark;1899-03-11;1972-01-14;1947-04-20;1972-01-14;1947-04-20;1972-01-14;;;;;;
Margrethe II of Denmark;1940-04-16;;1972-01-14;2024-01-14;1972-01-14;2024-01-14;;;;;;
Frederik X of Denmark;1968-05-26;;2024-01-14;;2024-01-14;;;;;;;
